,CommunityArea,totalCrimes1,totalCrimes2,totalCrimes3,totalCrimes4,totalCrimes5,totalCrimes6,totalCrimes7,totalCrimes8,totalCrimes9,totalCrimes10,totalCrimes11,totalCrimes12,totalCrimes13,totalCrimes14,totalCrimes15,totalCrimes16,totalCrimes17,sumAllCrimes
55,56,39,3620,4467,4521,4107,4214,3992,3658,3278,2589,2554,2468,2107,1929,1852,2104,1914,49413
56,57,14,1163,1632,1619,1614,1648,1731,1584,1651,1356,1286,1195,1200,1056,996,879,840,21464
57,58,46,3379,4886,4723,4439,4647,4214,4175,3891,3532,3712,3190,2895,2911,2756,2632,2201,58229
58,59,17,1590,2084,2080,1908,2003,1788,1794,1759,1485,1429,1339,1278,1057,1083,1038,1048,24780
59,60,22,2422,3241,3127,3131,2975,2608,2659,2543,2448,2329,2167,1891,1803,1613,1691,1494,38164
60,61,73,7813,10822,10118,9648,10063,9725,8974,8199,7739,7731,6814,5998,5258,4985,4926,4619,123505
61,62,11,1359,1797,1714,1620,1744,1684,1727,1621,1395,1487,1368,1292,1014,1035,1096,1013,22977
62,63,43,3090,4272,3901,4327,4104,3917,3971,3947,3945,3739,3239,2826,2624,2364,2352,2291,54952
63,64,25,1452,1948,1912,1822,1824,1931,1907,1661,1399,1339,1278,1115,999,937,965,889,23403
64,65,29,2677,3534,3560,3233,3558,3209,3274,3097,2770,2681,2448,2251,2104,2052,2137,1861,44475
65,66,82,8135,11204,10976,11517,11737,11335,11266,10456,10516,9960,8590,7292,6482,6210,5817,5719,147294
66,67,83,10186,13919,14120,13674,13710,13561,13540,11528,11222,10823,9985,9013,7602,7527,6990,6915,174398
67,68,103,9544,12546,12959,12197,12311,12395,12437,10721,10164,9328,9092,8196,7105,7236,6276,5900,158510
68,69,82,7910,10905,11592,11207,10969,11283,10501,9695,9370,8924,8724,7726,6745,6763,6591,6437,145424
69,70,38,3003,3815,3962,4029,4305,4234,4315,3738,3473,3136,2823,2814,2569,2312,2718,2480,53764
70,71,96,8977,12300,13148,12818,12155,13327,12888,11769,10666,10262,9417,8576,7986,7835,7585,7475,167280
71,72,19,1447,1721,1743,1744,1529,1552,1656,1407,1286,1238,1205,1021,902,988,983,882,21323
72,73,45,4012,5084,5334,5336,5555,5412,5025,4719,4548,4158,3963,3907,3194,3158,3208,3065,69723
73,74,10,831,1129,1097,1046,952,963,944,895,916,727,707,626,671,616,609,582,13321
74,75,25,2768,3575,3635,3563,3639,3655,3460,3372,3160,2908,2711,2492,2146,2079,1987,2092,47267
75,76,33,1731,2218,2095,2076,2519,2466,2356,2132,1894,1938,1832,2132,2012,1733,1769,1655,32591
76,77,48,3771,4787,4897,5015,4723,4246,4168,3613,3672,3338,3275,2715,2330,2255,2382,2611,57846
